key,prefix,number,document_id,path,source,field,location,context
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 17,(PTY) LTD (RF) Data SheetCold Salt TankInsulationkks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001317 1:1501:101:2 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU 6000 167 167 18 units Plate 40 x 4 lenght 6.000 mm. galvanized Scale=1:10Shell in
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 18,(PTY) LTD (RF) Data SheetCold Salt TankInsulationkks = AD1WSC10BB001- 0328-PLN-CYD-75-62-001318 1:1501:101:2 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU North 6000 Scale=1:10Roof insulation support plates19 units U 40x20x1.5 lenght 6.
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 2,"Salt TankPump holeConnections detail N1A / N1B / N1Ckks = AD1WSC10BB0010328-PLN-CYD-75-62-00132 1:301:101:5 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU 900 Scale=1:10Connections detailN1A 440 ¦///$0,afl& ¦1(($)¦1,)$, ,0\jaddk¦**$*"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 3,"a SheetCold Salt Tanksalt inletConnection detail N2kks = AD1WSC10BB0010328-PLN-CYD-75-62-00133 1:1501:201:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:20Connection detailN2 Scale=1:1030"" - 150# drilled blind flange detail ¦*"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 4,"ld Salt TankRecircularion ringConnections detail N3kks = AD1WSC10BB0010328-PLN-CYD-75-62-00134 1:1501:161:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:16N3Connection detail Scale=1:1018"" - 150# drilled blind flange detail ¦*"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 5,"ld Salt TankConnections detail N4 N5 N6 N7 N16 N17 N19 N21kks = AD1WSC10BB0010328-PLN-CYD-75-62-00135 1:10-- XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU ¦**0$.¦)1($-1,623,8¦)1$(- ¦)),$+8,56 ¦).0$*/ 589 300 ¦+/-120 EL+13000 1000 2.(2"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 6,/ Vent. salt pumpsConnections detail N8A N8B N8C N9kks = AD1WSC10BB0010328-PLN-CYD-75-62-00136 1:301:161:10 XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU EL+13475 Scale=1:30N8AConnections detail Scale=1:16Pipe guide detailPlan view Pip
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 7,"rsion heatersConnections detail N10 N11 N12 N13 N14 N15kks = AD1WSC10BB0010328-PLN-CYD-75-62-00137 1:201:10- XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Anular bottom plate Insert platethk. 70 mm.¦,0+¦,+* 894 792345 6450 345 2570430 I"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 8,"Roof opening / PreheatingConnections detail N18 N20 N22kks = AD1WSC10BB0010328-PLN-CYD-75-62-00138 1:201:10- XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU Scale=1:10N18Connection detail 350 200 645 ¦+.)$1¦,(.$, 1,630,2101,6 ¦*/+ ¦*-EL+1"
ABE-13004,ABE,13004,cf0c2affa8d3f2a2,Documentos en Servidor Atlántica/260422 01 Información Partida/05 Cimentacion Kaxu/0328-PLN-CYD-75-62-0013 Rev06 Cold salt tank.pdf,extracted,.yeyo-memory/extracted/cf0c2affa8d3f2a2.txt,page 9,re nozzle / First fillingConnections detail N23 N24 N25kks = AD1WSC10BB0010328-PLN-CYD-75-62-00139 1:201:10- XXXXXXXXXX ABE-13004-CE-BA !Kaxu Solar OneABEINSA EPC KAXU ¦.)( *`gd]k¦*.( 21000 4780 No welding250360360360 EL+14830 N23 ¦/(( ¦/((588 10
