status,path,ext,top_dir,size_human,text_chars,chunks,doc_code,revision,card_path,extracted_path
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000005 P&ID.pdf,pdf,Documentos en Servidor Atlántica,1021 KB,0,0,,,.yeyo-memory/cards/660b5dc0c81c35a0.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000006 P&ID.pdf,pdf,Documentos en Servidor Atlántica,762 KB,0,0,,,.yeyo-memory/cards/66db172eb1adab5e.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/01 P&ID Hl/E87-15-3020-FT-026-000007 P&ID.pdf,pdf,Documentos en Servidor Atlántica,642 KB,0,0,,,.yeyo-memory/cards/509d129fdc2fe04b.json,
needs_ocr_or_empty,Documentos en Servidor Atlántica/Antiguo/01 Información Partida/03 H&M Balances/Combine Balances H&M.pdf,pdf,Documentos en Servidor Atlántica,38 MB,0,0,,,.yeyo-memory/cards/6f2ecdf07ce7de11.json,
needs_ocr_or_empty,Helios Sole/Helios I/2.3 Estudio SyS HI.pdf,pdf,Helios Sole,6.2 MB,0,0,,,.yeyo-memory/cards/5d8137d0020b1747.json,
needs_ocr_or_empty,Helios Sole/Helios I/3.3.1 Resolucion DIA HI.pdf,pdf,Helios Sole,5.6 MB,0,0,,,.yeyo-memory/cards/298c99ceec2f89b3.json,
needs_ocr_or_empty,Helios Sole/Helios I/3.3.3 Acta señalamiento HI.pdf,pdf,Helios Sole,2.7 MB,0,0,,,.yeyo-memory/cards/c4919a23520db284.json,
needs_ocr_or_empty,Helios Sole/Helios I/3.3.4 Cumplimiento DIA HI.pdf,pdf,Helios Sole,1.9 MB,0,0,,,.yeyo-memory/cards/06ef8a243faf2b19.json,
needs_ocr_or_empty,Helios Sole/Helios I/3.3.5 DIA balsa.pdf,pdf,Helios Sole,2.8 MB,0,0,,,.yeyo-memory/cards/943db98c723777bb.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0001 Principal y redundante Helios I.pdf,pdf,Helios Sole,178 KB,0,0,2046-PLN-INA-23-22-0001,,.yeyo-memory/cards/71751f134851606e.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0002 Principal y redundante Helios II.pdf,pdf,Helios Sole,184 KB,0,0,2046-PLN-INA-23-22-0002,,.yeyo-memory/cards/1425f5ebe82d97a0.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0003 Principal y comprobante.pdf,pdf,Helios Sole,189 KB,0,0,2046-PLN-INA-23-22-0003,,.yeyo-memory/cards/b0e659f6ba1f0638.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0101 rev 00 Unifilar general.pdf,pdf,Helios Sole,202 KB,0,0,2046-PLN-INA-23-22-0101,rev 00,.yeyo-memory/cards/5c86953768b164fe.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/2046-PLN-INA-23-22-0101 rev 01 Unifilar general.pdf,pdf,Helios Sole,292 KB,0,0,2046-PLN-INA-23-22-0101,rev 01,.yeyo-memory/cards/0d29cc52dec122ef.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.3 Certificado LAAT.pdf,pdf,Helios Sole,214 KB,0,0,,,.yeyo-memory/cards/a6509c308c1a4074.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.3 Certificado LSAT.pdf,pdf,Helios Sole,216 KB,0,0,,,.yeyo-memory/cards/9789c3dd1f245664.json,
needs_ocr_or_empty,Helios Sole/Helios I/5.10 AT/5.10.1 LAAT - LSAT H I/5.10.1.4 Cert OCA LSAT.pdf,pdf,Helios Sole,130 KB,0,0,,,.yeyo-memory/cards/9d7856aea69d91a6.json,
