[sheet SPReport_Definition]
0 | Plant Item | Representation | Drawing | Drawing Project
8 | PlantItem | Representation | Drawing | DrawingProject
Plant Item;PlantItem.Representation | Representation;Drawing.Representation | Drawing;Drawing.DrawingProject
EA_Comp & Instr Valves (M)
EAQ_ValveList(Process+Instr)_G-UnaFila.xls | False | False | False | False
48 | 0 | 3 | 2
1 | 0 | 0 | 0
3 | False | False | False | False
Representation.FileName | Revision | Project.Name
Yanbu | KKSEquipmentUnitKey | EA_KKSDrawingNumber | Project.Description
1 | NombreSimbolo | EA_DrawingNumber
PlantItemType
ItemTag
SupplyBy
EA_Description
EA_PEDInspectionCategory
EA_TechnicalSpecification
EA_GEIdentification
EA_Note1
EA_Supplier
EA_DrawingNumber
EA_ManufacturerDrawing
EA_EnvironmentCondition
EA_FuncEmergency
EA_FuncStop
EA_FuncStartUp
EA_FuncLoad50
EA_FuncLoad100
EA_PowerRating
EA_PowerAbsorbed
EA_SheetNumber
EA_DrawingZone
EA_Material
EA_EndType
EA_RAP
EA_InspectionCategory
EA_TOP
EA_DataSheet
EA_PaintSystem
EA_RAL
EA_Manufacturer
EA_PurchaseOrderDate
EA_AuxNominalDiameter
EA_ValveCatalogNumber
EA_Rating
EA_Schedule
EA_LineOfValveAux
EA_Fluid
EA_DesignMaxPressure
EA_DesignMaxTemperature
EA_ActuatorType
EA_AccessoryType
EA_InsulThick
EA_AccessoryTypeAll
EA_DesignMaxMinPressure
EA_AuxDINNominalDiameter
ItemTag,0

[sheet VALVE LIST]
M | KKS Identification | ND (") | ND (mm) | Type | Material | Valve Qty | Rating | End | SCH | Fluid | Design | Drive
P (barg) | T (ºC)
087 | 10WTX16AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
088 | 10WTX15AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
089 | 10WTX15AA302 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
090 | 10WSX15AA304 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
091 | 10WSX19AA302 | 6" | 150 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
092 | 10WSX15AA303 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
093 | 10WTX15AA301 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Motor
094 | 10WTX15AA501 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
095 | 10WSX15AA302 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
096 | 10WTX15AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
097 | 10WTX14AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
098 | 10WTX14AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 800 Lb | SW | - | HTF | 25 | 398 | Manual
099 | 10WSX15AA301 | 4" | 100 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | MOLTEN SALTS | 25 | 398 | Motor
100 | 10WTX23AA202 | 24" | 600 | BUTTERFLY VALVE | ASTM A105 | 1 | 300 Lb | BW | - | HTF | 25 | 398 | Pneum
101 | 10WTX28AA203 | 24" | 600 | GATE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | HTF | 25 | 398 | Motor
102 | 10WTX17AA302 | 4" | 100 | GATE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | HTF | 25 | 398 | Motor
103 | 10WTX05AA201 | 24" | 600 | GATE VALVE | ASTM A105 | 1 | 300 Lb | BW | - | HTF | 25 | 398 | Pneum
104 | 10WSH10AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
105 | 10WSH10AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
106 | 10WSH10AA703 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
107 | 10WSC10AA701 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
108 | 10WSC10AA702 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
109 | 10WSC10AA703 | 2" | 50 | GLOBE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
110 | 10WSN11AA001 | 1" | 25 | NEEDLE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
111 | 10WSN13AA001 | 1" | 25 | NEEDLE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen | 0.01 | 398 | Manual
112 | 10WSN10AA004 | 4" | 100 | GATE VALVE | ASTM A105 | 1 | 150 Lb | SW | - | Nitrogen/HTF | 0.01 | 398 | Manual
113 | 10WTD10AA003 | 1" | 25 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen/HTF | 0.01 | 398 | Manual
114 | 10WTD10AA002 | 2" | 50 | GATE VALVE | ASTM A105 | 1 | 150 Lb | FLG | - | Nitrogen/HTF | 0.01 | 398 | Manual
