[sheet Lista de instrumentos]
Rev | TAG | Instrument type | Protect | Service | P&ID | Equipment / Line | Notes
00 | 10WTX17CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX17CT103 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX17CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX17CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX17CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX16CT101 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX16CT102 | Temperature transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX16CP001 | Pressure transmitter | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX16CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX16CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX15CT501 | Temperature gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WTX15CP501 | Pressure gauge | IP65 | HTF | 1950801-PID-3030-00 Sh 3 | 24"BAA8
00 | 10WSX17CT001 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 4"BAF9
00 | 10WSX17CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX17CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX17CT103 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX17CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX17CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX17CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX16CT101 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX16CT102 | Temperature transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX16CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX16CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX16CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX15CT501 | Temperature gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX15CP501 | Pressure gauge | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSX15CP001 | Pressure transmitter | IP65 | Molten Salt | 1950801-PID-3030-00 Sh 3 | 20"BAF9
00 | 10WSD10CP101 | Pressure transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | 6"BAF9
00 | 10WSD10CP102 | Pressure transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | 6"BAF9
00 | 10WSD10CP121 | Pressure transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSD10CP122 | Pressure transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSD10CT001 | Temperature Transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSD10CL101 | Level transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSD10CL102 | Level transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSD10CL103 | Level transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSH10CT046 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G13
00 | 10WSH10CT047 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G13
00 | 10WSH10CT048 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G13
00 | 10WSH10CT049 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G13
00 | 10WSH10CT050 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G13
00 | 10WSD10CT003 | Temperature Transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt PIT
00 | 10WSD10CT005 | Temperature Transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt PIT
00 | 10WSD10CT004 | Temperature Transmitter | IP65 | molten salt drain system | 1950801-PID-3030-00 Sh 4 | Drain salt Tank
00 | 10WSH11CP501 | Pressure gauge | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH11CP101 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH11CP102 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH12CP501 | Pressure gauge | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH12CP101 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH12CP102 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH10CT060 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G15
00 | 10WSH10CT061 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G15
00 | 10WSH10CT062 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G15
00 | 10WSH10CT063 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G15
00 | 10WSH10CT064 | Temperature transmitter | IP65 | Tank Foundation | 1950801-PID-3030-00 Sh 6 | G15
00 | 10WSH13CP501 | Pressure gauge | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH13CP101 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSH13CP102 | Pressure transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 10"BAF9
00 | 10WSX18CF001 | Flow transmitter | IP65 | Hot Molten Salt | 1950801-PID-3030-00 Sh 5 | 20"BAF9
00 | 10WSN12FE001 | Oriffice plate | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 2"AAA3
00 | 10WSN12CF001 | Flow transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 2"AAA3
00 | 10WSN10AT001 | Analisis transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 12"AAA3
00 | 10WSN13CF001 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 1"AAA3
00 | 10WSN13CF002 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 1"AAA3
00 | 10WSN13CF003 | Rotameter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 5 | 1"AAA3
00 | 10WSH10CP101 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 6 | 2"AAA3
00 | 10WSH10CP102 | Pressure transmitter | IP65 | Nitrogen | 1950801-PID-3030-00 Sh 6 | 2"AAA3
