path,size_bytes,size_human,ext,depth,mtime_iso
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.2 CDO.pdf,1000288,977 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.3 CIAT.pdf,239456,234 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.4 Acreditacion AT.pdf,498983,487 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.5 Certificado OCA.pdf,213766,209 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.5 Certificado pruebas.pdf,451282,441 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.6 Contrato Mto AT HI.pdf,129735,127 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.7 Cambio titularidad.pdf,101137,99 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.8 Presentacion proyecto.pdf,93279,91 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.3 Linea auxiliar 15 kV/5.10.3.9 Solicitud baja instalaciones.pdf,43171,42 KB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.1 Proy SE Elevadora HI.pdf,12224948,12 MB,pdf,4,2026-06-08T16:14:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.2 CDO SE Elevadora HI.pdf,273264,267 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.3 Cert Instalacion.pdf,118267,115 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.4 Cert PyC.pdf,416509,407 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.5 Acreditacion AT.pdf,498983,487 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.5 Acreditacion BT.pdf,1132564,1.1 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.6 Protocolo ensayos trafo.pdf,4482027,4.3 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.7 Contrato Mto AT HI.pdf,129735,127 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.8 Formulario SE Elevadora HI.pdf,372020,363 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.4 SE Elevadora HI/5.10.4.9 APM.pdf,263817,258 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.2 CDO AT HI.pdf,272828,266 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.3 CIEAT HI.pdf,222072,217 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.4 Certificado pyc AT HI.pdf,3927400,3.7 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.5 Acreditacion AT.pdf,498983,487 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.5 Acreditacion BT.pdf,1132564,1.1 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.6 Protocolos ensayo trafos.pdf,8779140,8.4 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.7 Contrato Mto AT HI.pdf,129735,127 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.8 Formulario AT HI.pdf,390325,381 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/5.10.5 AT HI/5.10.5.9 APM.pdf,270835,264 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110414175639_0001 Plano Abener.pdf,190489,186 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110513 Solicitud PS Línea.pdf,2270453,2.2 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110523 Formulario solicitud APS ínea 15kV.pdf,2348500,2.2 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110524 Plano Línea.pdf,41891421,40 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110607 Plano Línea Valeriano Lorenzo.pdf,6961850,6.6 MB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/110708 Plano Parcelas.pdf,299943,293 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/111130 Autorización líneas Masa.jpg,1112584,1.1 MB,jpg,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/111205 Línea 15 kV_versión final.bak,166144,162 KB,bak,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/111205 Línea 15 kV_versión final.dwg,166912,163 KB,dwg,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/120117 Solicitud cambio de titularidad línea 15kV.pdf,136416,133 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/120213 Cambio de titularidad 15 kV por Industria.pdf,248219,242 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/120224 Solicitud baja 15 kV.pdf,180237,176 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/120227 Solicitud baja instalaciones.pdf,43171,42 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/130215 Rm_ Cambio titularidad UF.pdf,124509,122 KB,pdf,4,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/110708 Cesión de titularidad de líneas eléctricas.doc,33280,33 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/110721 Cesión de titularidad de líneas eléctricas.doc,34816,34 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/110913 Cesión de titularidad de líneas eléctricas.doc,45568,45 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/110916 Cesión de titularidad de líneas eléctricas.doc,43008,42 KB,doc,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/111115 Boletín baja tensión.pdf,419482,410 KB,pdf,5,2026-06-08T16:15:00.000Z
Helios Sole/Helios I/5.10 AT/Líneas 15 kV/Cambio titularidad/111230 Contrato Transferencia de titularidad líneas 15 kV.pdf,189321,185 KB,pdf,5,2026-06-08T16:15:00.000Z
